TIC#,HIP#,"Comp (from CCDM, WDS, or assigned)",HD#,HR#,GJ#,ID/Con,CommonID,DistPc,plx,eplx,Ref_plx,_RAJ2000,_DEJ2000,Vmag,eVmag,Ref,B-V,eB-V,Ref,Rcmag,refRcmag,SpT,Ref_SpT,Teff,eTeff,ref_Teff,log(L/Lsun),e_logL,ref(logL),R*[Rsun],Diam*[mas],Msun,met,e_met,metratio,ref_met,log(g),elog(g),ref_logg,logR'HK,RefR'HK,EEIDau,EEIDmas,Contrast,Rcmag(EarthTwin),P(day),K(cm/s),a(uas),WDS_J,Comp_WDS,"Sep""",Del(Mag),sy_disksflag,ref_disk,groupflag
tic_id,hip_name,hip_compname,hd_name,hr_name,gj_name,constellation,hostname,sy_dist,sy_plx,sy_plxerr,sy_plx_reflink,ra,dec,sy_vmag,sy_vmagerr,sy_vmag_reflink,sy_bvmag,sy_bvmagerr,sy_bvmag_reflink,sy_rcmag,sy_rcmag_reflink,st_spectype,st_spectype_reflink,st_teff,st_tefferr,st_teff_reflink,st_lum,st_lumerr,st_lum_reflink,st_rad,st_diam,st_mass,st_met,st_meterr,st_metratio,st_met_reflink,st_logg,st_loggerr,st_logg_reflink,st_log_rhk,st_log_rhk_reflink,st_eei_orbsep,st_eei_angsep,st_etwin_bratio,st_etwin_rcmag,st_eei_orbper,st_etwin_rvamp,st_etwin_astamp,wds_designation,wds_comp,wds_sep,wds_deltamag,sy_disks_flag,sy_disks_flag_reflink,target_group
TIC_181273463,HIP_42808_,_,HD_74576_,_,GJ_320_,_,GJ_320_,11.1917,89.3522,0.0151,2022yCat.1355....0G,130.82512655,-38.88238079,6.556,0.006,1998A&AS..129..431H,0.932,0.002,1997yCat.2168....0M,6.042,1980SAAOC...1..166C,K2.5V(k),2006AJ....132..161G,4992,22,2022A&A...663A...4S,-0.4982,0.0104,2019AJ....158..138S,0.753,0.626,0.76,0.010,0.040,[Fe/H],2022A&A...663A...4S,4.600,0.050,2022A&A...663A...4S,-4.351,2018A&A...616A.108B,0.564,50.35,3.64E-10,29.64,177.2,13.75,0.199,_,_,_,_,N,_,C
TIC_332064670,HIP_43587_,A,HD_75732_A,HR_3522_A,GJ_324A_,55_Cnc_A,Copernicus,12.5868,79.4482,0.0429,2022yCat.1355....0G,133.14921294,28.33082083,5.960,0.010,1997HIP...C......0E,0.860,0.010,1997yCat.2168....0M,5.490,2010PASP..122.1437P,K0IV-V,2003AJ....126.2048G,5292,43,2022A&A...663A...4S,-0.1970,0.0114,2019AJ....158..138S,0.948,0.701,0.95,0.320,0.020,[Fe/H],2022A&A...663A...4S,4.400,0.020,2022A&A...663A...4S,-4.991,2010ApJ...725..875I,0.797,63.33,1.82E-10,29.84,266.7,10.34,0.200,08526+2820,A,85.10,7.11,N,_,C
TIC_62569281,HIP_43726_,_,HD_76151_,HR_3538_,GJ_327_,_,HR_3538,16.8465,59.3595,0.0408,2022yCat.1355....0G,133.57477957,-5.43445953,6.008,0.005,1998A&AS..129..431H,0.661,0.012,1997HIP...C......0E,5.640,1980SAAOC...1..166C,G2V,1989ApJS...71..245K,5780,9,2022A&A...663A...4S,-0.0127,0.0115,2019AJ....158..138S,0.983,0.543,1.02,0.100,0.010,[Fe/H],2022A&A...663A...4S,4.490,0.020,2022A&A...663A...4S,-4.659,1996ApJ...457L..99B,0.985,58.50,1.19E-10,30.45,353.8,8.98,0.172,_,_,_,_,Y,2008ApJ...674.1086T,C
TIC_355127594,HIP_44897_,_,HD_78366_,HR_3625_,GJ_334.2_,_,HR_3625,18.9498,52.7709,0.0309,2022yCat.1355....0G,137.21279326,33.88221843,5.962,0.001,1998A&AS..129..431H,0.585,0.007,1997HIP...C......0E,5.590,2010PASP..122.1437P,G0IV-V,2003AJ....126.2048G,5992,20,2022A&A...663A...4S,0.1029,0.0131,2019AJ....158..138S,1.045,0.513,1.08,0.040,0.020,[Fe/H],2022A&A...663A...4S,4.500,0.040,2022A&A...663A...4S,-4.608,1996ApJ...457L..99B,1.126,59.41,9.13E-11,30.69,419.8,8.16,0.165,_,_,_,_,N,_,C
TIC_219709102,HIP_45038_,A,HD_78154_A,HR_3616_A,GJ_335A_,13_UMa_A,13_Ursa_Majoris_A,20.5169,48.7404,0.0763,2022yCat.1355....0G,137.59811111,67.13401716,4.809,0.002,2001KFNT...17e.409K,0.486,0.005,1997yCat.2168....0M,4.520,2010PASP..122.1437P,F7V,1981ApJS...45..437A,6325,42,2022A&A...663A...4S,0.6096,0.0157,2019AJ....158..138S,1.680,0.762,1.21,-0.020,0.040,[Fe/H],2022A&A...663A...4S,4.070,0.070,2008MNRAS.384..173F,-4.901,2018A&A...616A.108B,2.018,98.34,2.84E-11,30.89,951.6,5.76,0.244,09104+6708,A,4.47,3.98,N,_,C
TIC_8915802,HIP_47080_,A,HD_82885_A,HR_3815_A,GJ_356A_,11_LMi_A,11_Leo_Minoris_A,11.2348,89.0092,0.0937,2022yCat.1355....0G,143.91459247,35.81013251,5.402,0.005,1998A&AS..129..431H,0.770,0.002,1997HIP...C......0E,4.970,2010PASP..122.1437P,G9-IV-V_Hdel1,1989ApJS...71..245K,5518,21,2022A&A...663A...4S,-0.1057,0.0039,2012ApJ...757..112B,0.969,0.802,0.94,0.340,0.020,[Fe/H],2022A&A...663A...4S,4.440,0.040,2022A&A...663A...4S,-4.638,1996ApJ...457L..99B,0.885,78.81,1.48E-10,29.55,313.9,9.87,0.252,09357+3549	,A,7.13,7.7,N,_,B
TIC_11310083,HIP_47592_,_,HD_84117_,HR_3862_,GJ_364_,_,HR_3862,14.9515,66.8827,0.1123,2022yCat.1355....0G,145.56006751,-23.91556723,4.914,0.012,1998A&AS..129..431H,0.534,0.004,1997HIP...C......0E,4.615,1980SAAOC...1..166C,F9V,1989ApJS...71..245K,6163,20,2022A&A...663A...4S,0.2961,0.0141,2019AJ....158..138S,1.233,0.767,1.14,-0.060,0.020,[Fe/H],2022A&A...663A...4S,4.340,0.030,2022A&A...663A...4S,-5.023,2010ApJ...725..875I,1.406,94.05,5.85E-11,30.20,570.5,7.11,0.248,_,_,_,_,N,_,A
TIC_23969522,HIP_48113_,_,HD_84737_,HR_3881_,GJ_368_,_,HR_3881,18.8226,53.1277,0.0773,2022yCat.1355....0G,147.14738062,46.02100739,5.086,0.006,1998A&AS..129..431H,0.619,0.007,1997HIP...C......0E,4.700,2010PASP..122.1437P,G0(V),1989ApJS...71..245K,5893,13,2022A&A...663A...4S,0.4464,0.0119,2019AJ....158..138S,1.604,0.793,1.08,0.100,0.010,[Fe/H],2022A&A...663A...4S,4.120,0.030,2022A&A...663A...4S,-5.085,2010ApJ...725..875I,1.672,88.83,4.14E-11,30.66,761.6,6.71,0.248,_,_,_,_,N,_,B
TIC_172954294,HIP_49081_,A,HD_86728_A,HR_3951_A,GJ_376A,20_LMi_A,20_Leo_Minoris_A,14.9263,66.9958,0.0921,2022yCat.1355....0G,150.25273698,31.92367028,5.378,0.004,1998A&AS..129..431H,0.676,0.004,1997HIP...C......0E,5.010,2010PASP..122.1437P,G4IV,1989ApJS...71..245K,5743,14,2022A&A...663A...4S,0.1392,0.0085,2012ApJ...757..112B,1.186,0.739,1.00,0.200,0.020,[Fe/H],2022A&A...663A...4S,4.300,0.030,2022A&A...663A...4S,-5.130,2018ApJ...855...75R,1.174,78.65,8.40E-11,30.20,464.6,8.31,0.236,10010+3155,A,134.40,10.6,N,_,B
TIC_371520835,HIP_49908_,_,HD_88230_,_,GJ_380_,_,Groombridge_1618,4.8706,205.3148,0.0224,2022yCat.1355....0G,152.84224979,49.45423639,6.550,0.005,1998A&AS..129..431H,1.326,0.008,1997HIP...C......0E,5.670,2010PASP..122.1437P,K7V,1991ApJS...77..417K,4097,40,2022A&A...663A...4S,-0.9882,0.0090,2017ApJ...836...77Y,0.636,1.215,0.63,0.210,0.060,[Fe/H],2022A&A...663A...4S,4.640,0.080,2022A&A...663A...4S,-4.617,2003AJ....126.2048G,0.321,65.82,1.13E-09,28.04,83.5,20.03,0.314,10114+4927,A,162.30,2.28,N,_,A
TIC_95431211,HIP_50564_,_,HD_89449_,HR_4054_,GJ_9324_,40_Leo,40_Leonis,21.2199,47.1255,0.1679,2022yCat.1355....0G,154.93403005,19.47091277,4.792,0.001,1998A&AS..129..431H,0.450,0.005,1997yCat.2168....0M,4.485,estimated,F6IV-V,2003AJ....126.2048G,6410,76,2018A&A...616A...1G,0.6272,0.0181,2019AJ....158..138S,1.669,0.732,1.35,0.090,0.030,[Fe/H],2016ApJ...826..171G,4.123,0.084,2019AJ....158..138S,-4.749,2003AJ....126.2048G,2.059,97.02,2.73E-11,30.89,928.6,5.40,0.216,10197+1928,A,_,_,N,_,C
TIC_453620177,HIP_50954_,_,HD_90589_,HR_4102_,GJ_391_,_,HR_4102,16.2232,61.6400,0.1200,2007A&A...474..653V,156.09877488,-74.03161211,3.990,0.010,1997HIP...C......0E,0.361,0.005,1997yCat.2168....0M,3.760,1980SAAOC...1..166C,F3V,2006AJ....132..161G,6905,80,2011A&A...530A.138C,0.7128,0.0178,2019AJ....158..138S,1.587,0.910,1.43,0.050,0.060,[Fe/H],2016ApJ...826..171G,4.228,0.087,2019AJ....158..138S,-4.685,2009A&A...493.1099S,2.272,140.04,2.24E-11,30.38,1046.0,4.99,0.294,_,_,_,_,N,_,C
TIC_416519065,HIP_51459_,A,HD_90839_,HR_4112_A,GJ_395_,36_UMa_A,36_Ursa_Majoris_A,12.9452,77.2485,0.0805,2022yCat.1355....0G,157.65658027,55.98053880,4.820,0.010,1997HIP...C......0E,0.518,0.003,1997yCat.2168....0M,4.510,2010PASP..122.1437P,F8V,2003AJ....126.2048G,6164,21,2022A&A...663A...4S,0.2055,0.0114,2012ApJ...757..112B,1.111,0.798,1.18,-0.120,0.010,[Fe/H],2022A&A...663A...4S,4.430,0.030,2022A&A...663A...4S,-4.775,2018A&A...616A.108B,1.267,97.87,7.21E-11,29.87,479.5,7.36,0.249,10306+5559,A,122.80,3.98,N,_,A
TIC_367631379,HIP_51502_,A,HD_90089_A,HR_4084_A,GJ_9330A_,_,GJ_9330A,22.7302,43.9944,0.2712,2018A&A...616A...1G,157.76961635,82.55865174,5.250,0.010,1997HIP...C......0E,0.370,0.000,1997yCat.2168....0M,4.989,estimated,F4VkF2mF2,2003AJ....126.2048G,6758,90,2011A&A...530A.138C,0.5124,0.0194,2019AJ....158..138S,1.316,0.538,1.39,-0.160,0.050,[Fe/H],2016ApJ...826..171G,4.389,0.088,2019AJ....158..138S,-4.550,2010A&A...521A..12M,1.804,79.36,3.56E-11,31.11,750.5,5.68,0.171,10311+8234,A,13.50,7.7,Y,2018MNRAS.475.3046S,C
TIC_447823435,HIP_51523_,_,HD_91324_,HR_4134_,GJ_9332_,_,HR_4134,22.0616,45.3276,0.0662,2022yCat.1355....0G,157.84092030,-53.71548361,4.897,0.004,1998A&AS..129..431H,0.500,0.000,1997yCat.2168....0M,4.590,2010PASP..122.1437P,F9V_Fe-0.8_CH-0.7,2006AJ....132..161G,6155,24,2022A&A...663A...4S,0.6437,0.0147,2019AJ....158..138S,1.845,0.778,1.16,-0.400,0.050,[Fe/H],2022A&A...663A...4S,3.830,0.090,2022A&A...663A...4S,-4.970,2022A&A...658A..57M,2.098,95.10,2.63E-11,31.04,1030.7,5.77,0.246,10314-5343,A,80.90,3.63,N,_,C
TIC_21535479,HIP_53721_,_,HD_95128_,HR_4277_,GJ_407_,47_UMa,Chalawan,13.8875,72.0070,0.0974,2022yCat.1355....0G,164.86655313,40.43025571,5.037,0.004,1998A&AS..129..431H,0.624,0.003,1997HIP...C......0E,4.700,2010PASP..122.1437P,G1.5IV-V_Fe-1,1989ApJS...71..245K,5880,10,2022A&A...663A...4S,0.1978,0.0118,2019AJ....158..138S,1.210,0.810,1.07,0.020,0.010,[Fe/H],2022A&A...663A...4S,4.300,0.020,2022A&A...663A...4S,-5.060,2018ApJ...855...75R,1.256,90.42,7.34E-11,30.04,496.9,7.76,0.254,_,_,_,_,N,_,A
TIC_166646191,HIP_54035_,_,HD_95735_,_,GJ_411_,_,Lalande_21185,2.5461,392.7529,0.0321,2022yCat.1355....0G,165.83414508,35.96988227,7.421,0.001,1998A&AS..129..431H,1.502,0.014,1997HIP...C......0E,6.400,2015MNRAS.454.2863H,M2V,1991ApJS...77..417K,3601,51,2019A&A...625A..68S,-1.7004,0.0100,2017ApJ...836...77Y,0.363,1.325,0.44,-0.420,0.070,[Fe/H],2005MNRAS.356..963W,4.870,0.070,2019A&A...625A..68S,-5.451,1996ApJ...457L..99B,0.141,55.45,5.81E-09,26.99,29.2,36.11,0.379,_,_,_,_,N,_,B
TIC_57611256,HIP_56452_,A,HD_100623_A,HR_4458_A,GJ_432A_,20_Crt_A,20_Crateris_A,9.5590,104.6133,0.0277,2022yCat.1355....0G,173.62286018,-32.83133966,5.956,0.001,1998A&AS..129..431H,0.811,0.007,1997HIP...C......0E,5.525,1980SAAOC...1..166C,K0-V,2006AJ....132..161G,5196,23,2022A&A...663A...4S,-0.4318,0.0123,2019AJ....158..138S,0.751,0.730,0.88,-0.400,0.020,[Fe/H],2022A&A...663A...4S,4.600,0.040,2022A&A...663A...4S,-4.913,2010ApJ...725..875I,0.608,63.63,3.13E-10,29.29,184.7,12.30,0.217,11345-3250,A,15.10,8.92,N,_,A
TIC_101641846,HIP_56997_,_,HD_101501_,HR_4496_,GJ_434_,61_UMa,61_Ursae_Majoris,9.5762,104.4252,0.1005,2022yCat.1355....0G,175.26256779,34.20163378,5.308,0.001,1998A&AS..129..431H,0.723,0.014,1997HIP...C......0E,4.910,2010PASP..122.1437P,G8V,1989ApJS...71..245K,5491,24,2022A&A...663A...4S,-0.2154,0.0064,2012ApJ...757..112B,0.862,0.837,0.94,-0.050,0.010,[Fe/H],2022A&A...663A...4S,4.540,0.020,2022A&A...663A...4S,-4.546,1996ApJ...457L..99B,0.780,81.49,1.90E-10,29.21,259.7,10.51,0.260,11411+3412,A,158.90,5.96,N,_,A
TIC_454082369,HIP_57443_,A,HD_102365_,HR_4523_,GJ_442A_,_,HR_4523,9.3195,107.3024,0.0873,2022yCat.1355....0G,176.62946889,-40.50035719,4.893,0.002,1998A&AS..129..431H,0.664,0.004,1997HIP...C......0E,4.525,1980SAAOC...1..166C,G2V,2006AJ....132..161G,5618,14,2022A&A...663A...4S,-0.0737,0.0111,2019AJ....158..138S,0.970,0.968,1.02,-0.310,0.020,[Fe/H],2022A&A...663A...4S,4.440,0.030,2022A&A...663A...4S,-4.931,2010ApJ...725..875I,0.919,98.58,1.37E-10,29.18,318.5,9.30,0.290,11467-4029,A,22.70,9.6,N,_,A
TIC_366661076,HIP_57757_,_,HD_102870_,HR_4540_,GJ_449_,bet_Vir,Zavijava,10.9290,91.5000,0.2200,2007A&A...474..653V,177.67382715,1.76472265,3.602,0.004,1998A&AS..129..431H,0.552,0.008,1997yCat.2168....0M,3.280,1980SAAOC...1..166C,F9V,1973ARA&A..11...29M,6123,9,2022A&A...663A...4S,0.5529,0.0063,2012ApJ...757..112B,1.679,1.429,1.14,0.130,0.010,[Fe/H],2022A&A...663A...4S,4.130,0.020,2022A&A...663A...4S,-4.880,2010ApJ...725..875I,1.890,172.93,3.24E-11,29.50,888.9,6.13,0.456,11507+0146,A,326.60,7.99,Y,2016A&A...593A..51M,C
TIC_309599261,HIP_57939_,_,HD_103095_,HR_4550_,GJ_451_,CF_UMa,CF_Ursae_Majoris,9.1718,109.0296,0.0197,2022yCat.1355....0G,178.24486391,37.71868170,6.427,0.008,1998A&AS..129..431H,0.754,0.009,1997HIP...C......0E,5.959,estimated,K1V_Fe-1.5,2003AJ....126.2048G,5057,18,2022A&A...663A...4S,-0.6737,0.0041,2012ApJ...757..112B,0.600,0.608,0.85,-1.330,0.020,[Fe/H],2022A&A...663A...4S,4.640,0.040,2022A&A...663A...4S,-4.896,1996ApJ...457L..99B,0.460,50.20,5.46E-10,29.12,123.8,14.39,0.177,_,_,_,_,N,_,C
TIC_421189312,HIP_59199_,A,HD_105452_A,HR_4623_A,GJ_9389A,alf_Crv_A,Alchiba,14.9365,66.9500,0.1500,2007A&A...474..653V,182.10340218,-24.72887510,4.025,0.001,1998A&AS..129..431H,0.332,0.011,1997yCat.2168....0M,3.804,estimated,F1V,2006AJ....132..161G,6990,80,2011A&A...530A.138C,0.6363,_,2019AJ....158..138S,1.418,0.883,1.50,-0.130,0.030,[Fe/H],2016ApJ...826..171G,4.192,0.026,2022yCat.1355....0G,-4.214,2018A&A...616A.108B,2.080,139.28,2.67E-11,30.24,894.9,5.09,0.279,_,A,3.07,7.75,N,_,C
TIC_1628071,HIP_61174_,_,HD_109085_,HR_4775_,GJ_9411_,eta_Crv,Eta_Corvi,18.2437,54.8135,0.1562,2022yCat.1355....0G,188.01761001,-16.19600517,4.297,0.003,1998A&AS..129..431H,0.378,0.007,1997yCat.2168....0M,4.070,2010PASP..122.1437P,F2V,2006AJ....132..161G,6871,48,2012A&A...537A.120Z,0.6650,0.0223,2019AJ....158..138S,1.517,0.774,1.44,-0.060,0.040,[Fe/H],2016ApJ...826..171G,4.242,0.083,2019AJ....158..138S,-4.313,2018A&A...616A.108B,2.150,117.86,2.50E-11,30.57,959.7,5.11,0.246,12321-1612,A,12.90,15.8,Y,2020AJ....159..177E,C
TIC_458445966,HIP_61317_,_,HD_109358_,HR_4785_,GJ_475_,bet_CVn,Chara,8.4727,118.0266,0.1530,2022yCat.1355....0G,188.43560105,41.35747815,4.260,0.007,1997A&AS..124..349M,0.585,0.005,1997yCat.2168....0M,3.890,2010PASP..122.1437P,G0V,1989ApJS...71..245K,5878,14,2022A&A...663A...4S,0.0611,0.0068,2012ApJ...757..112B,1.034,1.136,1.08,-0.200,0.010,[Fe/H],2022A&A...663A...4S,4.420,0.020,2022A&A...663A...4S,-4.970,2018ApJ...855...75R,1.073,126.62,1.01E-10,28.88,390.6,8.36,0.352,12337+4121,A,265.70,6.39,N,_,A
TIC_389853353,HIP_62207_,_,HD_110897_,HR_4845_,GJ_484_,10_CVn,10_Canum_Venaticorum,17.5565,56.9588,0.0323,2022yCat.1355....0G,191.24752068,39.27891615,5.958,0.002,1998A&AS..129..431H,0.548,0.005,1997yCat.2168....0M,5.600,2010PASP..122.1437P,F9V_Fe-0.3,2003AJ....126.2048G,5889,16,2022A&A...663A...4S,0.0382,0.0128,2019AJ....158..138S,1.004,0.532,1.14,-0.530,0.020,[Fe/H],2022A&A...663A...4S,4.380,0.040,2022A&A...663A...4S,-4.972,2010ApJ...725..875I,1.045,59.52,1.06E-10,30.54,365.4,8.25,0.157,_,_,_,_,Y,2008ApJ...674.1086T,C
TIC_445070560,HIP_64394_,_,HD_114710_,HR_4983_,GJ_502_,bet_Com,Beta_Comae_Berenices,9.1975,108.7250,0.1645,2022yCat.1355....0G,197.96830761,27.87818397,4.230,0.010,1997HIP...C......0E,0.572,0.006,1997HIP...C......0E,3.900,2010PASP..122.1437P,F9.5V,1989ApJS...71..245K,5996,17,2022A&A...663A...4S,0.1326,0.0045,2012ApJ...757..112B,1.079,1.092,1.11,0.060,0.010,[Fe/H],2022A&A...663A...4S,4.420,0.020,2022A&A...663A...4S,-4.745,1996ApJ...457L..99B,1.165,126.65,8.53E-11,29.07,435.9,7.91,0.343,13119+2753,A,131.50,7.8,N,_,A
TIC_30293512,HIP_64408_,_,HD_114613_,HR_4979_,GJ_9432_,_,HR_4979,20.4628,48.8691,0.1058,2022yCat.1355....0G,198.01326790,-37.80302220,4.847,0.001,1998A&AS..129..431H,0.701,0.003,1997yCat.2168....0M,4.462,estimated,G4V,2006AJ....132..161G,5688,14,2022A&A...663A...4S,0.6256,0.0114,2019AJ....158..138S,2.116,0.962,0.99,0.160,0.020,[Fe/H],2022A&A...663A...4S,3.920,0.030,2022A&A...663A...4S,-5.068,2010ApJ...725..875I,2.055,100.42,2.74E-11,30.87,1081.4,6.31,0.305,_,_,_,_,N,_,C
TIC_255854921,HIP_64583_,A,HD_114837_A,HR_4989_A,GJ_503A_,_,GJ_503A,18.2400,54.8247,0.0809,2022yCat.1355....0G,198.56310307,-59.10323723,4.913,0.007,1997A&AS..124..349M,0.480,0.000,1997A&AS..124..349M,4.620,1980SAAOC...1..166C,F6V_Fe-0.4,2006AJ....132..161G,6238,26,2022A&A...663A...4S,0.4722,0.0160,2019AJ....158..138S,1.475,0.752,1.25,-0.310,0.030,[Fe/H],2022A&A...663A...4S,4.230,0.050,2022A&A...663A...4S,-4.665,2018A&A...616A.108B,1.722,94.43,3.90E-11,30.64,738.4,6.13,0.227,13143-5906,A,4.60,5.28,N,_,C
TIC_373765355,HIP_64797_,A,HD_115404_A,_,GJ_505A_,_,GJ_505A,10.9869,91.0176,0.0236,2022yCat.1355....0G,199.21271429,17.01717803,6.550,0.010,1997HIP...C......0E,0.926,0.003,1997HIP...C......0E,6.070,2010PASP..122.1437P,K2.5V(k),2003AJ....126.2048G,4843,107,2022A&A...663A...4S,-0.5197,0.0141,2019AJ....158..138S,0.781,0.661,0.76,-0.180,0.020,[Fe/H],2022A&A...663A...4S,4.470,0.040,2022A&A...663A...4S,-4.480,1996ApJ...457L..99B,0.550,50.03,3.83E-10,29.61,170.8,13.92,0.198,13169+1701,A,7.70,2.84,N,_,C
TIC_422478973,HIP_64924_,_,HD_115617_,HR_5019_,GJ_506_,61_Vir,61_Virginis,8.5344,117.1726,0.1456,2022yCat.1355....0G,199.60130828,-18.31119382,4.735,0.002,1998A&AS..129..431H,0.709,0.007,1997HIP...C......0E,4.330,1980SAAOC...1..166C,G6.5V,1989ApJS...71..245K,5552,9,2022A&A...663A...4S,-0.0833,0.0060,2017ApJ...836...77Y,0.982,1.070,0.97,-0.010,0.010,[Fe/H],2022A&A...663A...4S,4.410,0.020,2022A&A...663A...4S,-5.001,1996ApJ...457L..99B,0.909,106.46,1.40E-10,28.96,322.0,9.61,0.331,13184-1819,A,387.70,5.92,Y,2008ApJ...674.1086T,B
TIC_202380743,HIP_68184_,_,HD_122064_,HR_5256_,_,_,HR_5256_,10.0672,99.3325,0.0193,2022yCat.1355....0G,209.38357650,61.49286115,6.488,0.004,2001KFNT...17e.409K,1.040,0.006,1997HIP...C......0E,5.911,estimated,K3V,1984AJ.....89..702L,4867,29,2022A&A...663A...4S,-0.5360,0.0164,2019AJ....158..138S,0.759,0.701,0.75,0.200,0.030,[Fe/H],2022A&A...663A...4S,4.560,0.030,2022A&A...663A...4S,-4.989,2018A&A...616A.108B,0.540,53.59,3.98E-10,29.41,167.1,14.15,0.215,_,_,_,_,N,_,C
TIC_83391616,HIP_69965_,A,HD_125276_A,HR_5356_A,GJ_9476A_,_,GJ_9476A,17.9888,55.5900,0.0531,2022yCat.1355....0G,214.75373205,-25.81542495,5.872,0.003,1998A&AS..129..431H,0.498,0.004,1997A&AS..124..349M,5.530,2010PASP..122.1437P,F9V_Fe-1.5_CH-0.7,2006AJ....132..161G,6120,41,2022A&A...663A...4S,0.0822,0.0147,2019AJ....158..138S,0.978,0.506,1.11,-0.680,0.050,[Fe/H],2022A&A...663A...4S,4.410,0.100,2022A&A...663A...4S,-4.830,2022A&A...658A..57M,1.099,61.11,9.58E-11,30.58,399.6,8.15,0.165,14190-2549,A,3.60,7.57,N,_,C
TIC_441709021,HIP_70497_,A,HD_126660_A,HR_5404_A,GJ_549A_,tet_Boo_A,Theta_Bootis_A,14.5307,68.8200,0.1400,2007A&A...474..653V,216.29915429,51.85074358,4.052,0.010,1997HIP...C......0E,0.497,0.005,1997HIP...C......0E,3.760,2010PASP..122.1437P,F7V,2001AJ....121.2148G,6280,16,2022A&A...663A...4S,0.6054,0.0077,2017ApJ...836...77Y,1.696,1.086,1.33,-0.030,0.020,[Fe/H],2022A&A...663A...4S,4.230,0.060,2022A&A...663A...4S,-4.361,2013A&A...552A..27M,2.008,138.18,2.87E-11,30.12,901.1,5.51,0.312,14252+5151,A,70.20,7.36,Y,2020AJ....159..177E,C
TIC_157966796,HIP_71284_,_,HD_128167_,HR_5447_,GJ_557_,sig_Boo,Sigma_Bootis,15.7560,63.4679,0.1173,2022yCat.1355....0G,218.67007244,29.74512713,4.465,0.005,1998A&AS..129..431H,0.364,0.005,1997HIP...C......0E,4.230,2010PASP..122.1437P,F4VkF2mF1,2001AJ....121.2148G,6745,73,2013ApJ...764...78R,0.5027,0.0179,2019AJ....158..138S,1.306,0.771,1.39,-0.410,0.070,[Fe/H],2013ApJ...764...78R,4.260,0.030,2013ApJ...764...78R,-4.507,2018A&A...616A.108B,1.784,113.21,3.64E-11,30.33,738.1,5.72,0.245,14347+2945,A,214.50,6.16,Y,2016A&A...593A..51M,B
TIC_471011144,HIP_71681_,_,HD_128621_,HR_5460_,GJ_559B_,alf_Cen_B,Toliman,1.3319,750.8100,0.3800,2021AJ....162...14A,219.89609629,-60.83752757,1.350,0.010,1997HIP...C......0E,0.868,0.022,1997A&AS..124..349M,0.866,1990A&AS...83..357B,K1V,1975MSS...C01....0H,5244,13,2022A&A...663A...4S,-0.2984,0.0060,2017A&A...597A.137K,0.859,6.000,0.94,0.240,0.010,[Fe/H],2022A&A...663A...4S,4.540,0.030,2022A&A...663A...4S,-4.960,2021A&A...646A..77G,0.709,532.49,2.30E-10,24.96,225.3,11.04,1.706,14396-6050,B,5.30,-1.34,N,_,B
TIC_471011145,HIP_71683_,_,HD_128620_,HR_5459_,GJ_559A_,alf_Cen_A,Rigil_Kentaurus,1.3319,750.8100,0.3800,2021AJ....162...14A,219.90205833,-60.83399269,0.002,0.008,1997A&AS..124..349M,0.653,0.023,1997A&AS..124..349M,-0.352,1990A&AS...83..357B,G2V,2006AJ....132..161G,5776,16,2022A&A...663A...4S,0.1821,0.0043,2017A&A...597A.137K,1.231,8.600,1.11,0.200,0.010,[Fe/H],2022A&A...663A...4S,4.300,0.030,2022A&A...663A...4S,-5.084,2021A&A...646A..77G,1.233,925.96,7.61E-11,24.94,475.8,7.71,2.516,14396-6050,A,5.30,1.34,N,_,B
TIC_1101124559,HIP_72659_,B,HD_131156_B,HR_5544_B,GJ_566B_,xi_Boo_B,Xi_Bootis_B,6.7486,148.1793,0.0546,2022yCat.1355....0G,222.84601534,19.10191326,6.979,0.037,1997A&AS..124..349M,1.164,0.021,1997HIP...C......0E,6.167,estimated,K5V,1981ApJS...45..437A1,4288,127,2019AJ....158..138S,-0.8882,0.0274,2019AJ....158..138S,0.652,0.898,0.67,0.144,0.012,[Fe/H],2022yCat.1355....0G,4.636,0.099,2019AJ....158..138S,-4.424,1996ApJ...457L..99B,0.360,53.30,8.95E-10,28.79,96.3,18.33,0.239,14514+1906,B,5.20,-2.19,N,_,C
TIC_1101124558,HIP_72659_,A,HD_131156_A,HR_5544_A,GJ_566A_,xi_Boo_A,Xi_Bootis_A,6.7536,148.0695,0.1317,2022yCat.1355....0G,222.84745194,19.10044994,4.540,0.010,1997HIP...C......0E,0.720,0.015,1997HIP...C......0E,4.251,estimated,G8-V,2003AJ....126.2048G,5487,19,2022A&A...663A...4S,-0.2572,0.0112,2019AJ....158..138S,0.823,1.133,0.96,-0.140,0.020,[Fe/H],2022A&A...663A...4S,4.540,0.030,2022A&A...663A...4S,-4.363,1996ApJ...457L..99B,0.744,110.12,2.09E-10,28.45,239.1,10.65,0.345,14514+1906,A,5.20,2.19,N,_,B
