TIC#,HIP#,"Comp (from CCDM, WDS, or assigned)",HD#,HR#,GJ#,ID/Con,CommonID,DistPc,plx,eplx,Ref_plx,_RAJ2000,_DEJ2000,Vmag,eVmag,Ref,B-V,eB-V,Ref,Rcmag,refRcmag,SpT,Ref_SpT,Teff,eTeff,ref_Teff,log(L/Lsun),e_logL,ref(logL),R*[Rsun],Diam*[mas],Msun,met,e_met,metratio,ref_met,log(g),elog(g),ref_logg,logR'HK,RefR'HK,EEIDau,EEIDmas,Contrast,Rcmag(EarthTwin),P(day),K(cm/s),a(uas),WDS_J,Comp_WDS,"Sep""",Del(Mag),sy_disksflag,ref_disk,groupflag
tic_id,hip_name,hip_compname,hd_name,hr_name,gj_name,constellation,hostname,sy_dist,sy_plx,sy_plxerr,sy_plx_reflink,ra,dec,sy_vmag,sy_vmagerr,sy_vmag_reflink,sy_bvmag,sy_bvmagerr,sy_bvmag_reflink,sy_rcmag,sy_rcmag_reflink,st_spectype,st_spectype_reflink,st_teff,st_tefferr,st_teff_reflink,st_lum,st_lumerr,st_lum_reflink,st_rad,st_diam,st_mass,st_met,st_meterr,st_metratio,st_met_reflink,st_logg,st_loggerr,st_logg_reflink,st_log_rhk,st_log_rhk_reflink,st_eei_orbsep,st_eei_angsep,st_etwin_bratio,st_etwin_rcmag,st_eei_orbper,st_etwin_rvamp,st_etwin_astamp,wds_designation,wds_comp,wds_sep,wds_deltamag,sy_disks_flag,sy_disks_flag_reflink,target_group
TIC_373694425,HIP_8362_,_,HD_10780_,HR_511_,GJ_75_,V987_Cas ,V987_Cassiopeiae,10.0411,99.5902,0.0438,2022yCat.1355....0G,26.93681015,63.85250306,5.626,0.006,1998A&AS..129..431H,0.804,0.010,1997HIP...C......0E,5.230,2010PASP..122.1437P,G9V,2003AJ....126.2048G,5358,11,2022A&A...663A...4S,-0.2874,0.0084,2012ApJ...757..112B,0.834,0.772,0.90,0.030,0.020,[Fe/H],2022A&A...663A...4S,4.480,0.030,2022A&A...663A...4S,-4.681,1996ApJ...457L..99B,0.718,71.54,2.24E-10,29.35,234.4,11.19,0.239,01477+6351,A,10.20,6.86,N,_,A
TIC_72748794,HIP_10798_,_,HD_14412_,HR_683_,GJ_95_,_,HR_683,12.8347,77.9140,0.0295,2022yCat.1355....0G,34.74376992,-25.94568716,6.336,0.005,1998A&AS..129..431H,0.724,0.003,1997HIP...C......0E,5.970,2010PASP..122.1437P,G8V,2006AJ....132..161G,5401,14,2022A&A...663A...4S,-0.3509,0.0093,2019AJ....158..138S,0.762,0.553,0.94,-0.490,0.010,[Fe/H],2022A&A...663A...4S,4.590,0.030,2022A&A...663A...4S,-4.850,2004ApJS..152..261W,0.668,52.02,2.60E-10,29.93,205.5,11.36,0.166,_,_,_,_,N,_,C
TIC_166853853,HIP_12653_,_,HD_17051_,HR_810_,GJ_108_,iot_Hor,Iota_Horologii,17.3572,57.6131,0.0383,2022yCat.1355....0G,40.63944445,-50.80029309,5.395,0.001,1998A&AS..129..431H,0.561,0.007,1997HIP...C......0E,5.085,1980SAAOC...1..166C,F9V_Fe+0.3,2006AJ....132..161G,6157,18,2022A&A...663A...4S,0.2399,0.0142,2019AJ....158..138S,1.158,0.621,1.14,0.150,0.020,[Fe/H],2022A&A...663A...4S,4.430,0.030,2022A&A...663A...4S,-4.585,2009A&A...493.1099S,1.318,75.94,6.66E-11,30.53,517.6,7.34,0.200,_,_,_,_,N,_,B
TIC_302158903,HIP_12777_,A,HD_16895_A,HR_799_,GJ_107A_,tet_Per_A,Theta_Persei_A,11.1501,89.6850,0.1638,2022yCat.1355....0G,41.04994423,49.22844852,4.100,0.010,1997HIP...C......0E,0.514,0.002,1997HIP...C......0E,3.795,estimated,F7V,2001AJ....121.2148G,6263,67,2022A&A...663A...4S,0.3515,0.0101,2017ApJ...836...77Y,1.273,1.062,1.21,0.010,0.010,[Fe/H],2022A&A...663A...4S,4.390,0.040,2022A&A...663A...4S,-4.970,2004ApJS..152..261W,1.499,134.43,5.15E-11,29.52,609.3,6.68,0.334,02442+4914,A,21.20,5.84,N,_,A
TIC_326242565,HIP_12843_,_,HD_17206_,HR_818_,GJ_111_,1_Eri,1_Eridani,14.2764,70.0459,0.1599,2022yCat.1355....0G,41.27582834,-18.57262283,4.465,0.007,1997yCat.2168....0M,0.479,0.011,1997yCat.2168....0M,4.172,1980SAAOC...1..166C,F7V,2009ApJS..180..117A,6330,52,2022A&A...663A...4S,0.4178,0.0171,2019AJ....158..138S,1.345,0.876,1.21,0.070,0.050,[Fe/H],2022A&A...663A...4S,4.360,0.090,2022A&A...663A...4S,-4.461,2018A&A...616A.108B,1.618,113.32,4.42E-11,30.06,683.3,6.43,0.281,_,_,_,_,N,_,A
TIC_30016911,HIP_13402_,_,HD_17925_,HR_857_,GJ_117_,EP_Eri,EP_Eridani,10.3605,96.5200,0.0258,2022yCat.1355....0G,43.13386744,-12.76971335,6.038,0.012,1998A&AS..129..431H,0.867,0.008,1997yCat.2168....0M,5.525,1980SAAOC...1..166C,K1.5V(k),2006AJ....132..161G,5199,20,2022A&A...663A...4S,-0.3969,0.0097,2019AJ....158..138S,0.780,0.701,0.82,0.070,0.010,[Fe/H],2022A&A...663A...4S,4.550,0.020,2022A&A...663A...4S,-4.311,1996ApJ...457L..99B,0.633,61.12,2.89E-10,29.37,203.2,12.49,0.224,02525-1246,A,15.40,13.3,Y,2008ApJ...674.1086T,B
TIC_116988032,HIP_14632_,_,HD_19373_,HR_937_,GJ_124_,iot_Per,Iota_Persei,10.5774,94.5412,0.1448,2022yCat.1355....0G,47.26674709,49.61327835,4.050,0.010,1997HIP...C......0E,0.595,0.007,1997HIP...C......0E,3.710,2010PASP..122.1437P,G0V,1989ApJS...71..245K,5952,12,2013ApJ...764...78R,0.3484,0.0134,2019AJ....158..138S,1.404,1.235,1.08,0.090,0.010,[Fe/H],2022A&A...663A...4S,4.220,0.020,2022A&A...663A...4S,-5.028,2010ApJ...725..875I,1.494,141.20,5.19E-11,29.42,641.5,7.09,0.393,03091+4937,A,154.40,8.35,N,_,A
TIC_88523071,HIP_14879_,A,HD_20010_A,HR_963_A,GJ_127A_,alf_For,Dalim,13.9990,71.4337,0.1320,2022yCat.1355....0G,48.01887418,-28.98762199,3.800,0.010,1997HIP...C......0E,0.543,0.015,1997HIP...C......0E,3.540,1980SAAOC...1..166C,F6V,2006AJ....132..161G,6195,50,2022A&A...663A...4S,0.6284,0.0151,2019AJ....158..138S,1.790,1.189,1.25,-0.220,0.050,[Fe/H],2022A&A...663A...4S,3.950,0.100,2022A&A...663A...4S,-4.833,2018A&A...616A.108B,2.062,147.27,2.72E-11,29.95,967.0,5.61,0.354,03121-2859,A,5.40,3.21,N,_,C
TIC_279649057,HIP_15330_,_,HD_20766_,HR_1006_,GJ_136_,zet1_Ret,Zeta1_Reticuli,12.0447,83.0240,0.0438,2022yCat.1355....0G,49.44234773,-62.57532013,5.513,0.004,1998A&AS..129..431H,0.641,0.007,1997HIP...C......0E,5.160,1980SAAOC...1..166C,G2IV,1989ApJS...71..245K,5710,13,2022A&A...663A...4S,-0.1000,0.0115,2019AJ....158..138S,0.911,0.703,1.01,-0.230,0.020,[Fe/H],2022A&A...663A...4S,4.500,0.030,2022A&A...663A...4S,-4.646,1996AJ....111..439H,0.891,74.00,1.46E-10,29.75,305.8,9.49,0.220,03182-6230,B,309.10,-0.27,N,_,A
TIC_279649049,HIP_15371_,_,HD_20807_,HR_1010_,GJ_138_,zet2_Ret_,Zeta2_Reticuli,12.0394,83.0606,0.0608,2022yCat.1355....0G,49.55341201,-62.50636242,5.232,0.001,1998A&AS..129..431H,0.600,0.009,1997HIP...C......0E,4.885,1980SAAOC...1..166C,G1V,1989ApJS...71..245K,5847,13,2022A&A...663A...4S,0.0073,0.0119,2019AJ....158..138S,0.983,0.759,1.07,-0.230,0.010,[Fe/H],2022A&A...663A...4S,4.460,0.020,2022A&A...663A...4S,-4.787,1996AJ....111..439H,1.008,83.77,1.14E-10,29.74,357.6,8.66,0.235,03182-6230,A,309.10,0.27,N?,_,A
