#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#TIC#, RA, DEC, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, Exposure Length, Waveband, Filters, Target Classification, Release Date, Instrument, Project, Distance (")
#@string, ra, dec, int, string, string, string, ra, dec, float, float, string, string, string, float, string, string, float
TIC#,RA,DEC,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_exptime,wavelength_region,filters,target_classification,t_obs_release,instrument_name,project,distance
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp17040,HD 33262,76.3783738973,-57.4745228896,45114.82186,539.723,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr11768,HD 33262,76.37877961599,-57.4732868219899,44890.5130671,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_23969522,147.14738062,46.02100739,2,IUE,lwr12245,HD 84737,147.145723790988,46.0214372570176,44969.9624769,2699.548,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp15007,HD 33262,76.3787927684,-57.4733248223,44864.04921,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwp08988,WAVCAL  + TFLOOD,76.3779614797241,-57.4744830015731,46675.4743634,15.851,UV,HIGH DISP,,NaN,LWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp16998,HD 33262,76.3779942465,-57.4733210496,45109.47097,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_301880196,326.13054144,14.7719398,2,IUE,lwp03380,HD 206860,326.1300212329,14.7731456727,45839.14302,27.73,UV,LOW DISP,,NaN,LWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr13284,HD 33262,76.3779810951216,-57.4732830482325,45109.9147338,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr15729,HD 33262,76.3779810951216,-57.4732830482325,45437.9607755,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr10685,HD 33262,76.37877961599,-57.4732868219899,44747.7006134,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr11750,HD 33262,76.37877961599,-57.4732868219899,44888.4307986,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp15248,HD 33262,76.3787927684,-57.4733248223,44891.02764,1499.825,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr16121,HD 33262,76.3779810951216,-57.4732830482325,45495.7014468,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr16021,HD 33262,76.3779810951216,-57.4732830482325,45482.6917477,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr15961,HD 33262,76.3779810951216,-57.4732830482325,45471.7025,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_23969522,147.14738062,46.02100739,2,IUE,lwp01429,T FLOOD,147.1456715555,46.0213844193,44970.7689,24.863,UV,LOW DISP,,NaN,LWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr13048,HD 33262,76.3779810951216,-57.4732830482325,45079.0272222,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_156890613,108.95891324,47.23996345,2,IUE,lwp09610,HD 55575,108.9582092446,47.2424838404,46764.87939,87.611,UV,LOW DISP,,NaN,LWP,,0
TIC_373694425,26.93681015,63.85250306,2,IUE,swp46769,HD 10780,26.9337750984,63.8530812616,49008.1187,17999.74,UV,LOW DISP,,NaN,SWP,,0
TIC_101641846,175.26256779,34.20163378,2,IUE,swp22005,61 UMA,175.2623179578,34.2029830098,45713.7848,3599.844,UV,LOW DISP,,NaN,SWP,,0
TIC_285544488,13.267486,61.12397,2,IUE,swp21270,HD 5015,13.2708393784,61.1219841636,45618.94743,3599.844,UV,LOW DISP,,NaN,SWP,,0
TIC_373694425,26.93681015,63.85250306,2,IUE,swp46768,HD 10780,26.9337750984,63.8530812616,49008.06972,1799.652,UV,LOW DISP,,NaN,SWP,,0
TIC_373694425,26.93681015,63.85250306,2,IUE,lwp24763,HD 10780,26.9337750984,63.8530812616,49008.04851,1499.832,UV,LOW DISP,,NaN,LWP,,0
TIC_373694425,26.93681015,63.85250306,2,IUE,lwp23968,HD 10780,26.9336742146,63.8530814792,48883.49184,149.791,UV,LOW DISP,,NaN,LWP,,0
TIC_373694425,26.93681015,63.85250306,2,IUE,swp45671,HD 10780,26.9336742146,63.8530814792,48883.49953,1799.652,UV,LOW DISP,,NaN,SWP,,0
TIC_441709021,216.29915429,51.85074358,2,IUE,swp40329,HD126660,216.299614453,51.8517058698,48239.92147,1499.825,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp15037,HD 131156,222.8449313847,19.1024269716,44867.49221,5399.627,UV,LOW DISP,,NaN,SWP,,0.531835735354154
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp16873,HD 131156,222.845730383,19.102429599,45089.9258,5399.627,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr02132,HD 131156,222.845730383,19.102429599,43741.62292,49.845,UV,LOW DISP,,NaN,LWR,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp17538,HD 131156,222.8462327033,19.101631246,45182.26507,5399.627,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp02347,HD 131156,222.845730383,19.102429599,43741.63633,5399.627,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr13052,HD 131156,222.845730383,19.102429599,45080.05134,104.739,UV,LOW DISP,,NaN,LWR,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp47664,HD 131156,222.8457314879,19.1021296008,49121.28255,5399.627,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp47723,HD 131156,222.8457314879,19.1021296008,49132.23828,3599.844,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwp19606,HD 131156,222.845131155685,19.1024613631267,48276.3886574,1499.832,UV,HIGH DISP,,NaN,LWP,,0.231499965675866
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp10892,HD 131156,222.8449313847,19.1024269716,44599.84567,5519.64,UV,LOW DISP,,NaN,SWP,,0.531835735354154
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp16814,HD 131156,222.845735539,19.1010296075,45082.3772,3599.844,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr05501,HD131156,222.8445318855,19.1024256579,44119.47118,479.516,UV,LOW DISP,,NaN,LWR,,1.62852150219688
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwp02679,HD 131156,222.8462338082,19.1013312479,45720.71023,39.608,UV,LOW DISP,,NaN,LWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr17908,SKY,222.8449313847,19.1024269716,46603.44852,299.701,UV,LOW DISP,,NaN,LWR,,0.531835735354154
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwp02628,HD 131156,222.84643358085,19.1013656376523,45714.1699421,719.544,UV,HIGH DISP,,NaN,LWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp47713,HD 131156,222.8457314879,19.1021296008,49130.24999,4799.563,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr13821,HD 131156,222.8462327033,19.101631246,45182.26295,19.535,UV,LOW DISP,,NaN,LWR,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp35798,HD 131156,222.8466333074,19.1013325616,47602.74818,1499.825,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwp02642,HD 131156,222.8462338082,19.1013312479,45716.67054,29.778,UV,LOW DISP,,NaN,LWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwp02620,HD 131156,222.8462338082,19.1013312479,45713.75594,15.851,UV,LOW DISP,,NaN,LWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwr12959,HD 131156,222.845131155685,19.1024613631267,45064.9511227,449.615,UV,HIGH DISP,,NaN,LWR,,0.231499965675866
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp47736,HD 131156,222.8457314879,19.1021296008,49133.38623,4499.736,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp33721,HD131156,222.8449313847,19.1024269716,47320.41647,3599.844,UV,LOW DISP,,NaN,SWP,,0.531835735354154
TIC_1101124558,222.84745194,19.10044994,2,IUE,lwp08420,HD 131156,222.845930155267,19.1024639903677,46600.4348727,3299.491,UV,HIGH DISP,,NaN,LWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp16797,HD 131156,222.8453319887,19.1021282871,45079.92862,5399.627,UV,LOW DISP,,NaN,SWP,,0
TIC_1101124558,222.84745194,19.10044994,2,IUE,swp27356,HD 131156,222.8449313847,19.1024269716,46421.8417,2219.492,UV,LOW DISP,,NaN,SWP,,0.531835735354154
